mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
CSP,,22331982,4hour,3009376.2,4th
CSP,,19453712,4hour,3265124.8,4th
CSP,,18213144,4hour,3201102,4th
CSP_DnaseI,,490237.66,4hour,101193.76,4th
CSP_DnaseI,,482590.38,4hour,86491.06,4th
CSP_DnaseI,,419425.1,4hour,106506.92,4th
E99,,126759.53,4hour,1979271.6,4th
E99,,160824.78,4hour,2186996.5,4th
E99,,138971.92,4hour,1906762.6,4th
E90,,110494.49,4hour,1839192.1,4th
E90,,109315.56,4hour,2060335.5,4th
E90,,112761.06,4hour,2021092.2,4th
E50,,94577.96,4hour,1756358.2,4th
E50,,111322.57,4hour,1992080.1,4th
E50,,99774.85,4hour,1795331.5,4th
E10,,111535.06,4hour,1356547.4,4th
E10,,93652.45,4hour,1484869.4,4th
E10,,81810.18,4hour,1519015.2,4th
E1,,68310.28,4hour,1380330.2,4th
E1,,56691.72,4hour,1328542.8,4th
E1,,74110.76,4hour,1315625,4th
E99_CSP,,7490076.5,4hour,5361633.5,4th
E99_CSP,,9997682,4hour,6989928,4th
E99_CSP,,9468793,4hour,7859764.5,4th
E90_CSP,,11185973,4hour,5690886.5,4th
E90_CSP,,6836700,4hour,6483442,4th
E90_CSP,,10347061,4hour,6126611,4th
E50_CSP,,13278150,4hour,7284260,4th
E50_CSP,,11014889,4hour,8280164.5,4th
E50_CSP,,13778704,4hour,7154536,4th
E10_CSP,,8891878,4hour,7099027.5,4th
E10_CSP,,11179354,4hour,5783420,4th
E10_CSP,,18138536,4hour,6991888.5,4th
E1_CSP,,24216826,4hour,4295912,4th
E1_CSP,,20289968,4hour,4734661,4th
E1_CSP,,33765008,4hour,5273597,4th
